Date,Open,High,Low,Close,Volume
2025-06-08T00:00:00,35.996,36.09,35.952,36.041,4423
2025-06-09T00:00:00,36.043,36.878,35.906,36.794,88043
2025-06-10T00:00:00,36.795,36.799,36.3,36.581,92324
2025-06-11T00:00:00,36.58,36.636,36.013,36.348,96837
2025-06-12T00:00:00,36.349,36.444,35.45,36.385,99173
2025-06-13T00:00:00,36.386,36.633,35.966,36.299,123748
2025-06-15T00:00:00,36.324,36.392,36.073,36.293,9536
2025-06-16T00:00:00,36.288,36.529,36.087,36.318,95119
2025-06-17T00:00:00,36.319,37.249,36.134,37.117,101427
2025-06-18T00:00:00,37.113,37.306,36.521,36.741,90337
2025-06-19T00:00:00,36.74,36.775,36.201,36.388,67086
2025-06-20T00:00:00,36.39,36.407,35.501,36.0,86594
2025-06-22T00:00:00,36.021,36.112,35.815,36.072,7861
2025-06-23T00:00:00,36.075,36.355,35.59,35.89,88138
2025-06-24T00:00:00,35.889,36.193,35.274,35.938,84078
2025-06-25T00:00:00,35.934,36.352,35.664,36.334,58629
2025-06-26T00:00:00,36.333,36.826,36.23,36.628,83456
2025-06-27T00:00:00,36.625,36.717,35.786,35.983,91860
2025-06-29T00:00:00,35.937,36.084,35.407,35.76,8366
2025-06-30T00:00:00,35.759,36.223,35.75,36.147,62668
2025-07-01T00:00:00,36.15,36.608,35.796,36.084,75464
2025-07-02T00:00:00,36.085,36.583,35.866,36.406,61529
2025-07-03T00:00:00,36.407,37.065,36.333,36.79,65407
2025-07-04T00:00:00,36.789,36.951,36.615,36.921,41290
